properties,tensile strength,fracture growth rate,impact strength(room tem),impact strength(low tem),bending strength,flexural module,heat distortion temperature,30deg breakdown,50deg breakdown,70deg breakdown,90deg breakdown,110deg breakdown,5_20,10_20,15_20,20_20,25_20,30_20,35_20,40_20,45_20,50_20,55_20,60_20,65_20,70_20,75_20,80_20,5_50,10_50,15_50,20_50,25_50,30_50,35_50,40_50,45_50,50_50,55_50,60_50,65_50,70_50,75_50,80_50,5_70,10_70,15_70,20_70,25_70,30_70,35_70,40_70,45_70,50_70,55_70,60_70,65_70,70_70,75_70,80_70,5_90,10_90,15_90,20_90,25_90,30_90,35_90,40_90,45_90,50_90,55_90,60_90,65_90,70_90,75_90,80_90,5_110,10_110,15_110,20_110,25_110,30_110,35_110,40_110,45_110,50_110,55_110,60_110,65_110,70_110,75_110,80_110
unit,MPa,%,KJ/M2,KJ/M2,MPa,GPa,¡C,kV/mm,kV/mm,kV/mm,kV/mm,kV/mm,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,,,,,,,,,,,,,,,,
vtes-5,32.78,/,6,1.2,27.78,1.19,84.45,553,,,,,0.22,3.16,11.26,26.15,40.81,57.22,76.24,97.46,124.62,157.63,208.9,237.01,286.48,328.49,378.75,450.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.28,413.59,900.22,1855.51,3142.63,3575.88,4162.05,5952.73,6531.76,6494.7,8401.24,10116.23,9464.65,11814.51,14583.2,14408.53,,,,,,,,,,,,,,,,
vtes-10,33.36,/,4.9,1.2,29.65,1.29,82.4,366,,,,,1,2.63,3.84,7.02,11.02,15.77,21.36,27.64,33.5,38.81,43.83,50.05,57.73,66.11,76.73,88.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.28,159.82,493.06,1077.92,1490.93,2354.8,3248.08,3357.02,4436.17,5374.06,5071.64,6268.94,7276.72,6794.36,8382.44,9450.4,,,,,,,,,,,,,,,,
t30s,,,,,,,,,,,,,0.1475,0.0064,0.314,0.4292,0.928,2.6362,5.6801,11.048,18.965,30.246,48.006,72.38,120.75,135.28,176.04,237.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01821,16.7995,72.5009,311.97,653.41,1354.38,2429.29,3107.24,3889.04,5651.21,5263.05,6312.96,7694.01,8017.29,9050.68,14412.2,,,,,,,,,,,,,,,,
gma-1,35.85,84.49,4.5,1,36.15,1.58,87.05,490,,,,,0.06,-0.15,0.02,0.07,0.74,2.27,4.98,9.27,15.7,24.19,45.28,60.65,84.29,115.3,159.69,201.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,21.72,61.21,162.74,281.96,384.99,4653.99,890.83,899.47,1320.55,1705.67,1828.37,2696.89,3280.38,3902.85,7195.22,,,,,,,,,,,,,,,,
gma-2.5,36.33,69.1,4.9,1.2,38.52,1.7,88.4,589,,,,,-0.39,-0.18,-0.02,0.13,0.33,0.43,0.79,1.16,1.75,2.49,3.7,5.52,7.1,9.59,13.35,17.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,36.49,111.25,265.44,585.58,1293.82,2304.55,3848.97,7812.98,13484.13,18953.5,31481.28,37294.16,37105.79,49122.17,55534.13,,,,,,,,,,,,,,,,
gma-5,36.42,86.96,4,1,41.4,1.84,97.85,570,,,,,-0.02,-0.3,0.44,0.58,0.79,0.83,2.01,2.54,3.72,5.1,7.18,8.9,12.58,16.3,20,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.92,61.02,163.91,504.99,923.07,1355.83,2388.18,3246.43,3888.58,6022.39,7693.26,8674.03,14653.97,17250.99,18622.1,25026.91,,,,,,,,,,,,,,,,
gma-10,36.98,51.72,3.2,1.1,42.69,1.9,95.85,204,,,,,0.19,0.61,1.5,1.87,2.26,2.88,3.73,4.15,5.47,7.2,9.15,10.25,12.82,16.95,20.9,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.81,155.67,690.34,2343.08,2696.96,3857.55,6277.08,8048.05,13406.02,17893.25,18844.77,25082,29484.08,28620.02,38569.87,43289.79,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmd-2,36,__,4.1,1.1,36,1.56,101.3,490,,,417,370,0.12,0.08,0.1,0.3,0.44,1.2,2.19,4.28,9.02,16.78,27.82,45.79,68.58,136.49,156.92,204.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41,101.93,414.84,1351.4,2735.64,4421.84,6550.66,8093.93,10986.34,14112.11,16855.03,19464.42,24169.67,25204.8,28037.06,32884.95,303.23,1163.32,2123.7,4424.54,7610.22,10384.61,15992.27,21143.5,24093.93,30425.52,36162.4,41635.39,53409.39,63446.67,81304.03,108615.95
vmd-5,36.6,73,5.1,1,35.7,1.57,96.2,463,,,366,349,0.38,0.39,2.17,5.73,11.04,19.18,32.3,51.68,80.99,125.24,181.54,256.44,351.52,485.22,642.02,860.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.67,193.65,866.98,2622.42,6156.31,9324.15,13834.53,20640.67,25789.1,31388.04,45378.74,56563.7,72257.19,105339,129851.1,159012.5,110.82,586.89,1768.86,4718.04,8385.25,13048.12,19465,24351.88,32428.37,43001.07,52693.14,75118.8,94423.21,123175.95,169656.25,206765.55
